filename,event,onset,offset
music+speech_noisy1,0.2,2.0,speech
music+speech_noisy1,2.8,4.0,music
music+speech_noisy1,6.0,8.4,speech
music+speech_noisy10,0.0,2.0,music
music+speech_noisy10,2.6,3.8,speech
music+speech_noisy10,4.0,5.4,speech
music+speech_noisy10,6.4,7.4,speech
music+speech_noisy10,8.0,9.0,music
music+speech_noisy2,0.2,1.6,music
music+speech_noisy2,2.8,3.8,speech
music+speech_noisy2,5.4,7.0,speech
music+speech_noisy2,8.4,9.6,music
music+speech_noisy3,0.4,1.6,music
music+speech_noisy3,3.0,4.4,speech
music+speech_noisy3,5.4,7.8,speech
music+speech_noisy4,0.4,2.4,speech
music+speech_noisy4,3.2,5.0,music
music+speech_noisy4,6.2,8.0,music
music+speech_noisy4,8.4,9.6,speech
music+speech_noisy5,0.2,2.0,speech
music+speech_noisy5,2.6,3.6,music
music+speech_noisy5,4.6,6.4,speech
music+speech_noisy5,7.2,8.6,speech
music+speech_noisy6,0.6,3.0,music
music+speech_noisy6,3.6,6.0,music
music+speech_noisy6,7.8,9.6,speech
music+speech_noisy7,1.0,2.2,speech
music+speech_noisy7,3.2,4.4,speech
music+speech_noisy7,5.2,6.8,speech
music+speech_noisy7,7.4,8.6,music
music+speech_noisy8,0.4,1.6,music
music+speech_noisy8,2.6,3.8,music
music+speech_noisy8,5.4,7.4,speech
music+speech_noisy9,0.4,4.4,music
music+speech_noisy9,5.2,8.2,speech
music+speech_noisy9,8.4,9.6,speech
music_noisy1,0.8,2.2,music
music_noisy1,3.6,5.0,music
music_noisy1,7.4,8.0,speech
music_noisy10,1.2,1.8,speech
music_noisy10,2.8,3.8,music
music_noisy10,6.2,6.8,music
music_noisy10,9.0,9.6,music
music_noisy2,0.8,1.8,music
music_noisy2,3.2,4.4,music
music_noisy2,6.2,7.4,music
music_noisy2,7.6,9.2,music
music_noisy3,0.2,3.0,music
music_noisy3,3.4,8.6,music
music_noisy4,0.2,2.0,music
music_noisy4,2.8,3.8,music
music_noisy4,4.2,5.8,music
music_noisy4,6.2,7.2,music
music_noisy4,7.4,8.0,music
music_noisy5,0.6,3.0,music
music_noisy5,3.4,4.6,music
music_noisy5,6.2,9.4,music
music_noisy6,0.4,2.4,music
music_noisy6,3.4,4.6,music
music_noisy6,6.2,8.0,music
music_noisy6,8.8,9.6,music
music_noisy7,0.0,1.4,music
music_noisy7,2.0,3.0,music
music_noisy7,3.8,6.2,music
music_noisy7,7.4,9.6,music
music_noisy8,0.4,2.4,music
music_noisy8,4.2,7.0,music
music_noisy8,8.0,9.6,music
music_noisy9,0.4,1.4,music
music_noisy9,2.8,5.0,music
music_noisy9,8.0,9.4,music
S001,0.0,5.6,speech
S001,5.8,7.6,speech
S001,7.8,8.8,speech
S001,9.0,10.05,speech
S002,0.0,3.2,speech
S002,3.6,5.8,speech
S002,6.2,8.0,speech
S002,8.2,10.0,speech
S003,0.0,3.6,speech
S003,3.8,6.0,speech
S003,6.2,7.2,speech
S003,8.0,10.0,speech
S004,0.0,2.2,speech
S004,2.6,4.4,speech
S004,6.0,10.0,speech
S005,0.8,4.8,speech
S005,5.6,8.6,speech
S005,9.0,10.05,speech
S006,0.0,4.8,speech
S006,5.0,10.05,speech
S007,0.0,0.6,speech
S007,0.8,5.6,speech
S007,5.8,8.4,speech
S007,8.6,10.05,speech
S008,0.0,2.2,speech
S008,2.6,7.6,speech
S008,8.8,10.0,speech
S009,0.0,1.6,speech
S009,1.8,5.0,speech
S009,5.2,7.0,speech
S009,7.2,8.2,speech
S009,8.4,10.0,speech
S010,1.4,3.6,speech
S010,3.8,6.0,speech
S010,6.2,10.05,speech
